source_row,transaction_id,disposition,reason_code,reason_detail,total_amount_as_reported
279,TXN10289,kept,,,283.22
280,TXN10407,kept,,,268.4
281,TXN10064,dropped,TX-09,byte-identical repeat of an earlier source row (de-duplicated on the full raw row),132.35
282,TXN10253,quarantined,TX-07,"quantity == 0: economically empty row, excluded to protect the AOV denominator",0.0
283,TXN10120,kept,,,569.66
284,TXN10012,kept,,,111.92
285,TXN10183,kept,,,24.52
286,TXN10399,kept,,,402.6
287,TXN10300,kept,,,216.88
288,TXN10246,kept,,,215.12
289,TXN10095,kept,,,208.86
290,TXN10054,dropped,TX-09,byte-identical repeat of an earlier source row (de-duplicated on the full raw row),781.36
291,TXN10403,kept,,,155.01
292,TXN20013,kept,,,-215.12
293,TXN10301,kept,,,83.94
294,TXN10006,kept,,,209.84
295,TXN10257,kept,,,27.98
296,TXN10378,kept,,,629.56
297,TXN10206,kept,,,433.12
298,TXN10058,kept,,,132.35
299,TXN10052,kept,,,283.22
300,TXN10383,kept,,,671.0
301,TXN10061,kept,,,122.6
302,TXN10016,kept,,,966.9
303,TXN10341,kept,,,966.9
304,TXN10280,kept,,,208.86
305,TXN10258,kept,,,76.48
306,TXN10319,kept,,,74.44
307,TXN10172,kept,,,107.56
308,TXN10326,kept,,,674.79
309,TXN10023,kept,,,380.88
310,TXN10312,kept,,,52.94
311,TXN10263,quarantined,TX-08,transaction_date is after AS_OF_DATE,245.84
312,TXN10092,kept,,,203.19
313,TXN10440,kept,,,348.1
314,TXN10049,kept,,,708.05
315,TXN10218,kept,,,155.01
316,TXN10048,kept,,,348.1
317,TXN10198,kept,,,402.6
318,TXN10411,kept,,,1124.65
319,TXN10355,kept,,,157.39
320,TXN10409,kept,,,420.78
321,TXN10444,kept,,,69.62
322,TXN10402,kept,,,976.7
323,TXN10113,kept,,,374.49
324,TXN10344,kept,,,195.34
325,TXN10133,kept,,,1229.2
326,TXN10292,kept,,,126.96
327,TXN10252,quarantined,TX-07,"quantity == 0: economically empty row, excluded to protect the AOV denominator",0.0
328,TXN10057,dropped,TX-09,byte-identical repeat of an earlier source row (de-duplicated on the full raw row),123.17
329,TXN10055,dropped,TX-09,byte-identical repeat of an earlier source row (de-duplicated on the full raw row),586.02
330,TXN10259,kept,,,186.1
331,TXN10052,dropped,TX-09,byte-identical repeat of an earlier source row (de-duplicated on the full raw row),283.22
332,TXN10406,kept,,,278.48
333,TXN10212,kept,,,98.08
334,TXN10337,kept,,,711.24
335,TXN10051,kept,,,392.4
336,TXN20003,kept,,,-442.14
337,TXN10458,kept,,,111.66
338,TXN10154,quarantined,TX-04,store_id is absent from the cleaned store dimension,152.96
339,TXN10082,kept,,,134.2
340,TXN20021,kept,,,-224.93
341,TXN10003,kept,,,634.8
342,TXN10196,kept,,,280.52
343,TXN10014,kept,,,140.26
344,TXN10170,kept,,,588.6
345,TXN20010,kept,,,-541.4
346,TXN10040,kept,,,322.68
347,TXN10051,dropped,TX-09,byte-identical repeat of an earlier source row (de-duplicated on the full raw row),392.4
348,TXN10234,kept,,,195.34
349,TXN10042,kept,,,588.6
350,TXN20015,kept,,,-134.2
351,TXN10364,kept,,,773.52
352,TXN10331,kept,,,141.61
353,TXN10127,kept,,,73.56
354,TXN10201,kept,,,25.62
355,TXN20008,kept,,,-253.92
356,TXN10144,kept,,,152.96
357,TXN20024,kept,,,-1211.8
358,TXN10128,kept,,,1084.4
359,TXN10088,kept,,,208.86
360,TXN10329,kept,,,258.24
361,TXN10105,kept,,,207.24
362,TXN10249,kept,,,38.43
363,TXN10066,kept,,,108.26
364,TXN10428,kept,,,629.56
365,TXN10184,kept,,,237.08
366,TXN10230,kept,,,983.36
367,TXN10296,kept,,,37.22
368,TXN10071,kept,,,634.8
369,TXN10150,kept,,,79.41
370,TXN10021,kept,,,983.36
371,TXN10392,kept,,,727.08
372,TXN10287,kept,,,208.86
373,TXN10077,kept,,,671.0
374,TXN10219,kept,,,52.65
375,TXN10448,kept,,,208.86
376,TXN10101,kept,,,354.52
377,TXN10237,kept,,,108.26
378,TXN10050,kept,,,224.93
379,TXN10311,kept,,,324.84
380,TXN10434,kept,,,775.05
381,TXN10268,kept,,,246.34
382,TXN10217,kept,,,25.62
383,TXN20026,kept,,,-283.22
384,TXN10452,kept,,,392.4
385,TXN10207,kept,,,280.52
386,TXN10254,quarantined,TX-07,"quantity == 0: economically empty row, excluded to protect the AOV denominator",0.0
387,TXN10247,kept,,,449.86
388,TXN10177,kept,,,390.68
389,TXN10119,kept,,,512.39
390,TXN10015,kept,,,645.6
391,TXN10261,quarantined,TX-08,transaction_date is after AS_OF_DATE,314.76
392,TXN10260,kept,,,629.56
393,TXN10148,kept,,,52.65
394,TXN10345,kept,,,104.92
395,TXN10068,kept,,,442.14
396,TXN10255,quarantined,TX-07,"quantity == 0: economically empty row, excluded to protect the AOV denominator",0.0
397,TXN10195,kept,,,280.52
398,TXN10333,kept,,,193.38
399,TXN10304,kept,,,1229.2
400,TXN10358,kept,,,976.7
401,TXN10340,kept,,,52.65
402,TXN10096,kept,,,38.43
403,TXN10072,kept,,,948.32
404,TXN10401,kept,,,708.05
405,TXN10334,kept,,,126.96
406,TXN10086,kept,,,224.93
407,TXN10238,kept,,,645.6
408,TXN10271,kept,,,123.17
409,TXN10245,kept,,,424.83
410,TXN10420,kept,,,671.0
411,TXN20014,kept,,,-139.9
412,TXN10192,kept,,,24.52
413,TXN10070,kept,,,491.68
414,TXN10191,kept,,,141.61
415,TXN10422,kept,,,711.24
416,TXN10186,kept,,,157.39
417,TXN10393,kept,,,948.32
418,TXN10225,kept,,,280.52
419,TXN10081,kept,,,152.96
420,TXN10305,kept,,,650.64
421,TXN10321,kept,,,134.2
422,TXN20018,kept,,,-899.72
423,TXN10155,quarantined,TX-04,store_id is absent from the cleaned store dimension,111.66
424,TXN10290,kept,,,784.8
425,TXN10266,kept,,,209.84
426,TXN10176,kept,,,215.12
427,TXN10180,kept,,,708.05
428,TXN10061,dropped,TX-09,byte-identical repeat of an earlier source row (de-duplicated on the full raw row),122.6
429,TXN10386,kept,,,152.96
430,TXN10412,kept,,,589.52
431,TXN20022,kept,,,-671.0
432,TXN10174,kept,,,76.48
433,TXN10063,dropped,TX-09,byte-identical repeat of an earlier source row (de-duplicated on the full raw row),736.9
434,TXN20005,kept,,,-491.68
435,TXN10030,kept,,,216.56
436,TXN10056,dropped,TX-09,byte-identical repeat of an earlier source row (de-duplicated on the full raw row),324.84
437,TXN10389,kept,,,781.36
438,TXN10429,kept,,,76.48
439,TXN20028,kept,,,-38.43
440,TXN10076,kept,,,38.43
441,TXN10112,kept,,,584.27
442,TXN10060,dropped,TX-09,byte-identical repeat of an earlier source row (de-duplicated on the full raw row),216.52
443,TXN10374,kept,,,108.28
444,TXN20011,kept,,,-38.43
445,TXN10285,kept,,,132.35
446,TXN10397,kept,,,969.44
447,TXN10017,kept,,,775.05
448,TXN10141,kept,,,242.36
449,TXN10115,kept,,,196.59
450,TXN10342,kept,,,147.38
451,TXN10352,kept,,,382.4
452,TXN10405,kept,,,586.02
453,TXN10274,kept,,,134.2
454,TXN10136,kept,,,737.52
455,TXN10205,kept,,,76.48
456,TXN10062,dropped,TX-09,byte-identical repeat of an earlier source row (de-duplicated on the full raw row),140.26
457,TXN10106,kept,,,333.67
458,TXN10109,kept,,,223.18
459,TXN10298,kept,,,1185.4
460,TXN10139,kept,,,215.12
461,TXN20002,kept,,,-209.84
462,TXN10149,kept,,,589.52
463,TXN10362,kept,,,634.8
464,TXN10367,kept,,,981.0
465,TXN10313,kept,,,24.52
466,TXN10368,kept,,,1185.4
467,TXN10162,kept,,,216.52
468,TXN10194,kept,,,152.96
469,TXN10349,kept,,,105.88
470,TXN10357,kept,,,314.76
471,TXN10306,kept,,,25.62
472,TXN10188,kept,,,283.22
473,TXN10269,kept,,,781.36
474,TXN10098,kept,,,246.34
475,TXN10336,kept,,,382.4
476,TXN10046,kept,,,67.73
477,TXN10108,kept,,,196.75
478,TXN10163,kept,,,31.59
479,TXN10286,kept,,,294.76
480,TXN10220,kept,,,314.76
481,TXN10243,kept,,,196.2
482,TXN10303,kept,,,208.86
483,TXN10376,kept,,,387.36
484,TXN10445,kept,,,258.24
485,TXN10419,kept,,,589.52
486,TXN10129,kept,,,129.12
487,TXN10156,quarantined,TX-05,product_id is absent from the cleaned product dimension,314.78
488,TXN20006,kept,,,-634.8
489,TXN10058,dropped,TX-09,byte-identical repeat of an earlier source row (de-duplicated on the full raw row),132.35
490,TXN10085,kept,,,31.59
491,TXN20007,kept,,,-948.32
492,TXN10443,kept,,,1229.2
493,TXN10079,kept,,,139.9
494,TXN10248,kept,,,25.62
495,TXN10382,kept,,,193.38
496,TXN10059,dropped,TX-09,byte-identical repeat of an earlier source row (de-duplicated on the full raw row),196.2
497,TXN10413,kept,,,215.12
498,TXN10400,kept,,,21.06
499,TXN10199,kept,,,708.05
500,TXN10396,kept,,,76.48
501,TXN10019,kept,,,123.17
502,TXN10324,kept,,,433.76
503,TXN10043,kept,,,27.98
504,TXN10123,kept,,,484.72
